pl_name,hostname,default_flag,disposition,disp_refname,pl_orbper,pl_rade,pl_radj,ttv_flag,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 211764373.01,EPIC 211764373,1,FALSE POSITIVE,Yu et al. 2018,3.57678,2.597,0.23017258,0.0,5474.0,0.934009,0.96,4.47964,470.558,13.67,11.86,13.4924
EPIC 211765695.01,EPIC 211765695,1,CANDIDATE,Zink et al. 2021,7.5587,2.643,0.23579307,0.0,3974.0,0.677,0.636,4.579,268.776,15.77,11.887,14.7196
EPIC 211765695.02,EPIC 211765695,1,CANDIDATE,Zink et al. 2021,25.43143,2.887,0.25756133,0.0,3974.0,0.677,0.636,4.579,268.776,15.77,11.887,14.7196
EPIC 211768007.01,EPIC 211768007,1,FALSE POSITIVE,Yu et al. 2018,0.542912,2.597,0.23017258,0.0,5974.29,2.25382,1.1,3.77362,1794.75,14.21,12.697,14.0779
EPIC 211770390.01,EPIC 211770390,1,FALSE POSITIVE,Yu et al. 2018,3.79018,2.597,0.23017258,0.0,5762.0,0.863,0.88,4.49249,375.949,12.424,10.882,12.4517
EPIC 211770867.01,EPIC 211770867,1,CANDIDATE,Pope et al. 2016,27.693,2.597,0.23017258,0.0,6286.0,1.7076,1.23,4.0632,609.973,12.174,10.881,12.1434
EPIC 211783206.01,EPIC 211783206,1,CANDIDATE,Kruse et al. 2019,7.13142,9.6,0.86,0.0,5284.0,3.4,0.88,4.49249,264.78,14.359,11.961,14.2095
EPIC 211783206.01,EPIC 211783206,0,CANDIDATE,Kruse et al. 2019,7.134,2.597,0.23017258,0.0,5284.0,0.863,0.88,4.49249,264.78,14.359,11.961,14.2095
EPIC 211784767.01,EPIC 211784767,1,CANDIDATE,Barros et al. 2016,3.57804902,2.597,0.23017258,0.0,6024.0,1.59182,1.116,4.08194,459.355,11.909,10.56,11.8242
EPIC 211788221.01,EPIC 211788221,1,CANDIDATE,Kruse et al. 2019,12.89398,1.12,0.0999,0.0,5284.0,0.191,0.88,4.49249,59.0889,16.94,11.865,15.6034
EPIC 211791178.01,EPIC 211791178,0,CANDIDATE,Castro-Gonz&aacute;lez et al. 2022,9.56332821,2.597,0.23017258,0.0,4432.16,0.863,0.88,4.49249,264.78,14.092,11.388,12.6702
EPIC 211791178.01,EPIC 211791178,1,CANDIDATE,Castro-Gonz&aacute;lez et al. 2022,9.562742,2.01,0.17932019,0.0,4349.9,0.667217,0.694726,4.49249,264.78,14.092,11.388,12.6702
EPIC 211791178.01,EPIC 211791178,0,CANDIDATE,Castro-Gonz&aacute;lez et al. 2022,9.56183,1.97,0.176,0.0,5284.0,0.598,0.88,4.49249,264.78,14.092,11.388,12.6702
EPIC 211796070.01,EPIC 211796070,1,CANDIDATE,Kruse et al. 2019,1.88993,1.29,0.115,0.0,5284.0,0.638,0.88,4.49249,269.311,14.079,11.466,13.8783
EPIC 211796070.01,EPIC 211796070,0,CANDIDATE,Kruse et al. 2019,1.89016107,2.597,0.23017258,0.0,4491.0,0.74574,0.705,4.54108,269.311,14.079,11.466,13.8783
EPIC 211797637.01,EPIC 211797637,1,CANDIDATE,Kruse et al. 2019,1.640707,2.09,0.186,0.0,5284.0,0.572,0.88,4.49249,221.111,13.974,11.261,13.6878
EPIC 211797637.01,EPIC 211797637,0,CANDIDATE,Kruse et al. 2019,1.64117466,2.597,0.23017258,0.0,4493.0,0.664535,0.71,4.64429,221.111,13.974,11.261,13.6878
EPIC 211799258.01,EPIC 211799258,0,CANDIDATE,Petigura et al. 2018,19.53405,9.82,0.876,0.0,3316.0,0.460378,0.457571,4.7723,181.189,17.2276,12.185,15.9052
EPIC 211799258.01,EPIC 211799258,1,CANDIDATE,Petigura et al. 2018,19.53403,12.7,1.13,0.0,5284.0,0.45,0.88,4.49249,181.189,17.2276,12.185,15.9052
EPIC 211800191.01,EPIC 211800191,1,CANDIDATE,Mayo et al. 2018,1.106175,8.83310242,0.79,0.0,5851.0,0.90632,0.88,4.43,400.766,12.63,10.995,12.4437
EPIC 211800191.01,EPIC 211800191,0,CANDIDATE,Mayo et al. 2018,1.10605213,2.597,0.23017258,0.0,5900.71,1.11127,1.07,4.37581,400.766,12.63,10.995,12.4437
EPIC 211800191.01,EPIC 211800191,0,CANDIDATE,Mayo et al. 2018,1.106,2.597,0.23017258,0.0,5900.71,1.11127,1.07,4.37581,400.766,12.63,10.995,12.4437
EPIC 211800191.01,EPIC 211800191,0,CANDIDATE,Mayo et al. 2018,1.106182,15.6,1.39,0.0,5284.0,0.84,0.88,4.49249,400.766,12.63,10.995,12.4437
EPIC 211804579.01,EPIC 211804579,0,FALSE POSITIVE,Rizzuto et al. 2017,1.52317871,2.597,0.23017258,0.0,5735.72,0.950472,1.024,4.49249,195.689,11.359,9.861,11.3102
EPIC 211804579.01,EPIC 211804579,0,FALSE POSITIVE,Rizzuto et al. 2017,1.523,2.597,0.23017258,0.0,5735.72,0.950472,1.024,4.49249,195.689,11.359,9.861,11.3102
EPIC 211804579.01,EPIC 211804579,1,FALSE POSITIVE,Rizzuto et al. 2017,1.5235,2.597,0.23017258,0.0,5735.72,0.950472,1.024,4.49249,195.689,11.359,9.861,11.3102
EPIC 211807456.01,EPIC 211807456,1,FALSE POSITIVE,Yu et al. 2018,0.504961,2.597,0.23017258,0.0,5169.0,0.906039,0.88,4.46826,762.137,15.29,13.007,14.9483
EPIC 211808055.01,EPIC 211808055,0,CANDIDATE,Barros et al. 2016,3.38199819,2.597,0.23017258,0.0,5603.82,1.019,0.99,4.41736,591.035,13.802,12.141,13.6858
EPIC 211808055.01,EPIC 211808055,1,CANDIDATE,Barros et al. 2016,3.383,2.597,0.23017258,0.0,5603.82,1.019,0.99,4.41736,591.035,13.802,12.141,13.6858
EPIC 211809568.01,EPIC 211809568,1,FALSE POSITIVE,Yu et al. 2018,0.593274,2.597,0.23017258,0.0,5557.0,1.07692,0.98,4.36492,1303.74,15.606,13.505,15.3638
EPIC 211812160.01,EPIC 211812160,1,FALSE POSITIVE,Yu et al. 2018,1.085097,2.597,0.23017258,0.0,6503.37,2.97681,1.33,3.61442,2072.98,13.583,12.121,13.4156
EPIC 211812935.01,EPIC 211812935,1,CANDIDATE,Yu et al. 2018,3.607981,18.3,1.63,0.0,6490.0,2.253,0.88,3.928,330.387,12.857,11.091,12.6702
EPIC 211812935.01,EPIC 211812935,0,CANDIDATE,Yu et al. 2018,3.6079916,15.3816,1.3722568,0.0,5308.3,1.89,0.88,4.49249,330.387,12.857,11.091,12.6702
EPIC 211814313.01,EPIC 211814313,1,CANDIDATE,Yu et al. 2018,15.405101,2.597,0.23017258,0.0,5910.0,1.475,0.88,4.145,1917.9,15.537,13.869,15.4287
EPIC 211814733.01,EPIC 211814733,0,FALSE POSITIVE,Yu et al. 2018,14.71,2.597,0.23017258,0.0,5167.0,2.19732,0.88,4.49249,478.688,12.318,10.138,11.9845
EPIC 211814733.01,EPIC 211814733,1,FALSE POSITIVE,Yu et al. 2018,14.707213,2.597,0.23017258,0.0,5167.0,2.19732,0.88,4.49249,478.688,12.318,10.138,11.9845
EPIC 211817229.01,EPIC 211817229,0,CANDIDATE,Kruse et al. 2019,2.17693,7.92,0.707,0.0,3176.0,0.170856,0.14116,5.12252,42.8914,16.93,11.699,15.4853
EPIC 211817229.01,EPIC 211817229,1,CANDIDATE,Kruse et al. 2019,2.176955,1.25,0.112,0.0,5284.0,0.169,0.88,4.49249,42.8914,16.93,11.699,15.4853
EPIC 211822797 b,EPIC 211822797,0,CONFIRMED,Mann et al. 2017,21.17623917,2.597,0.23017258,0.0,3811.0,0.597044,0.585671,4.65371,186.197,15.133,11.429,14.5263
EPIC 211822797 b,EPIC 211822797,0,CONFIRMED,Mann et al. 2017,21.169619,2.2,0.19627085,0.0,3880.0,0.59,0.61,4.49249,186.197,15.133,11.429,14.5263
EPIC 211822797 b,EPIC 211822797,0,CONFIRMED,Mann et al. 2017,21.1686,2.18,0.194,0.0,5284.0,0.642,0.88,4.49249,186.197,15.133,11.429,14.5263
EPIC 211822797 b,EPIC 211822797,1,CONFIRMED,Mann et al. 2017,21.1701963,1.92,0.17129122,0.0,4057.0,0.58,0.62,4.7,186.197,15.133,11.429,14.5263
EPIC 211822797 b,EPIC 211822797,0,CONFIRMED,Mann et al. 2017,21.1595,2.597,0.23017258,0.0,3811.0,0.597044,0.585671,4.65371,186.197,15.133,11.429,14.5263
EPIC 211822797 b,EPIC 211822797,0,CONFIRMED,Mann et al. 2017,21.169861,1.98,0.17664377,0.0,4148.21,0.571699,0.663459,4.49249,186.197,15.133,11.429,14.5263
EPIC 211822953.01,EPIC 211822953,1,FALSE POSITIVE,Yu et al. 2018,1.549381,2.597,0.23017258,0.0,3570.0,0.541211,0.537281,4.70154,398.044,17.6612,13.396,16.7386
EPIC 211825866.01,EPIC 211825866,1,CANDIDATE,Barros et al. 2016,0.95017067,2.597,0.23017258,0.0,5339.0,0.746527,0.92,4.65577,397.097,13.989,11.953,13.7853
EPIC 211826814.01,EPIC 211826814,1,CANDIDATE,Dressing et al. 2017,1.53453,1.02,0.091,0.0,5284.0,0.29,0.28,4.96079,264.78,16.43,11.445,12.6702
EPIC 211828142.01,EPIC 211828142,1,FALSE POSITIVE,Yu et al. 2018,20.180269,2.597,0.23017258,0.0,3380.0,0.342147,0.32513,4.8817,270.464,18.98,13.901,17.4331
EPIC 211829982.01,EPIC 211829982,1,FALSE POSITIVE,Yu et al. 2018,5.803439,2.597,0.23017258,0.0,5029.0,1.00796,0.84,4.35546,471.811,14.07,11.827,13.7949
EPIC 211830293.01,EPIC 211830293,1,CANDIDATE,Yu et al. 2018,20.893526,2.597,0.23017258,0.0,6020.0,1.765,0.88,4.041,424.785,12.096,10.208,11.9013
EPIC 211831378.01,EPIC 211831378,1,FALSE POSITIVE,Dressing et al. 2017,3.48928,0.91,0.081,0.0,3742.0,0.682132,0.650711,4.58372,491.198,16.9951,13.085,16.2473
EPIC 211834065.01,EPIC 211834065,1,CANDIDATE,Pope et al. 2016,10.545,2.597,0.23017258,0.0,6046.92,1.95293,1.12,3.90591,514.288,11.808,10.4,11.6231
EPIC 211837343.01,EPIC 211837343,1,CANDIDATE,Kruse et al. 2019,12.0808,2.53,0.226,0.0,5284.0,0.682,0.88,4.49249,491.148,15.075,12.655,14.7454
EPIC 211838158.01,EPIC 211838158,1,FALSE POSITIVE,Yu et al. 2018,0.575349,2.597,0.23017258,0.0,5033.0,1.04575,0.84,4.32349,1354.33,16.17,13.987,16.0431
EPIC 211839430.01,EPIC 211839430,1,FALSE POSITIVE,Yu et al. 2018,2.612938,2.597,0.23017258,0.0,5014.02,4.77742,0.88,4.49249,556.574,11.0221,8.838,10.7834
EPIC 211839462.01,EPIC 211839462,1,FALSE POSITIVE,Yu et al. 2018,2.612804,2.597,0.23017258,0.0,5987.0,3.64705,1.1,3.35558,544.411,10.132,9.145001,10.4352
EPIC 211841496.01,EPIC 211841496,1,FALSE POSITIVE,Yu et al. 2018,0.522199,2.597,0.23017258,0.0,5284.0,0.863,0.88,4.49249,264.78,15.506,13.003,15.2913
EPIC 211843564.01,EPIC 211843564,1,CANDIDATE,Kruse et al. 2019,0.4520313,5.3,0.47,0.0,5284.0,0.569,0.88,4.49249,379.43,16.847,12.775,16.0491
EPIC 211843564.01,EPIC 211843564,0,CANDIDATE,Kruse et al. 2019,0.45220130587,7.91722863,0.70632905,0.0,3739.0,0.633946,0.88,4.6228,379.43,16.847,12.775,16.0491
EPIC 211852187.01,EPIC 211852187,1,FALSE POSITIVE,Yu et al. 2018,14.343042,2.597,0.23017258,0.0,3260.0,0.424653,0.419009,4.80422,308.234,12.977,13.577,17.518
EPIC 211858408.01,EPIC 211858408,1,FALSE POSITIVE,Yu et al. 2018,0.628876,2.597,0.23017258,0.0,6688.0,1.49352,1.42,4.24194,644.303,12.437,11.132,12.2464
EPIC 211858489.01,EPIC 211858489,1,FALSE POSITIVE,Yu et al. 2018,0.636109,2.597,0.23017258,0.0,6100.77,1.65628,1.15,4.0605,577.178,12.31,11.047,12.2097
EPIC 211859295.01,EPIC 211859295,1,CANDIDATE,Zink et al. 2021,11.09226,2.495,0.22258937,0.0,4496.0,0.703,0.74,4.611,282.878,14.321,11.641,14.0056
EPIC 211863149.01,EPIC 211863149,1,CANDIDATE,Yu et al. 2018,2.61299,2.597,0.23017258,0.0,3520.0,0.458,0.88,4.798,116.983,15.892,11.267,14.8088
EPIC 211876245.01,EPIC 211876245,1,CANDIDATE,Yu et al. 2018,8.97146,2.597,0.23017258,0.0,5330.0,0.872,0.88,4.481,923.239,15.897,13.55,15.4347
EPIC 211885185.01,EPIC 211885185,1,FALSE POSITIVE,Yu et al. 2018,4.397187,2.597,0.23017258,0.0,6090.0,1.71021,1.14,4.02887,680.351,12.295,11.182,12.4879
EPIC 211886472.01,EPIC 211886472,0,CANDIDATE,Kruse et al. 2019,19.64,2.597,0.23017258,0.0,6516.17,2.11864,1.34,3.91306,501.182,11.274,9.975,11.0569
EPIC 211886472.01,EPIC 211886472,0,CANDIDATE,Kruse et al. 2019,19.640123,34.30556244,3.06,0.0,6398.0,1.743843,0.88,4.03,501.182,11.274,9.975,11.0569
EPIC 211886472.01,EPIC 211886472,0,CANDIDATE,Kruse et al. 2019,19.63975,2.597,0.23017258,0.0,6730.0,2.183,0.88,3.963,501.182,11.274,9.975,11.0569
EPIC 211886472.01,EPIC 211886472,0,CANDIDATE,Kruse et al. 2019,19.63366256,2.597,0.23017258,0.0,6516.17,2.11864,1.34,3.91306,501.182,11.274,9.975,11.0569
EPIC 211886472.01,EPIC 211886472,1,CANDIDATE,Kruse et al. 2019,19.640151,43.0,3.8,0.0,5284.0,2.188,0.88,4.49249,501.182,11.274,9.975,11.0569
EPIC 211892082.01,EPIC 211892082,1,CANDIDATE,Zink et al. 2021,10.90364,2.214,0.19752019,0.0,3929.0,0.59,0.593,4.669,228.973,15.267,11.832,14.6817
EPIC 211892395.01,EPIC 211892395,1,CANDIDATE,Yu et al. 2018,0.995061,2.597,0.23017258,0.0,5080.0,0.864,0.88,4.468,927.712,16.357,13.59,16.0154
EPIC 211897272.01,EPIC 211897272,1,CANDIDATE,Kruse et al. 2019,11.2362,2.25,0.201,0.0,5284.0,0.955,0.88,4.49249,276.98,12.797,10.756,12.5895
EPIC 211897691.01,K2-339,1,CANDIDATE,Kruse et al. 2019,5.75052,2.01,0.179,0.0,5284.0,0.576,0.88,4.49249,360.36,14.487,12.173,14.3436
EPIC 211897691.01,K2-339,0,CANDIDATE,Kruse et al. 2019,5.75,2.597,0.23017258,0.0,4678.76,0.718666,0.75,4.60008,360.36,14.487,12.173,14.3436
EPIC 211897691.01,K2-339,0,CANDIDATE,Kruse et al. 2019,5.749481,2.93,0.261,0.0,5284.0,0.765,0.88,4.49249,360.36,14.487,12.173,14.3436
EPIC 211901114.01,EPIC 211901114,0,CANDIDATE,Rizzuto et al. 2017,1.648932,9.6,0.86,0.0,3440.0,0.46,0.88,4.49249,184.055,17.161,12.318,15.9771
EPIC 211901114.01,EPIC 211901114,1,CANDIDATE,Rizzuto et al. 2017,1.6488,2.597,0.23017258,0.0,3392.0,0.445314,0.441527,4.78569,184.055,17.161,12.318,15.9771
EPIC 211904310.01,EPIC 211904310,1,CANDIDATE,Castro-Gonz&aacute;lez et al. 2022,24.399869,18.43,1.6442173,0.0,6404.0,1.65,1.33,4.12,1062.83,13.754,12.248,13.6398
EPIC 211906259.01,EPIC 211906259,1,CANDIDATE,Pope et al. 2016,2.52,2.597,0.23017258,0.0,5707.44,1.08666,1.02,4.37448,406.157,12.842,11.261,12.67
EPIC 211906940.01,EPIC 211906940,1,FALSE POSITIVE,Yu et al. 2018,0.526316,2.597,0.23017258,0.0,4397.0,0.863,0.88,4.49249,262.007,16.269,13.118,16.0586
EPIC 211910237.01,EPIC 211910237,1,FALSE POSITIVE,Yu et al. 2018,1.108972,2.597,0.23017258,0.0,5284.0,0.863,0.88,4.49249,466.057,15.026,12.6,14.8123
EPIC 211913395.01,EPIC 211913395,1,CANDIDATE,Kruse et al. 2019,9.35739,2.69,0.24,0.0,5284.0,0.595,0.88,4.49249,459.035,16.042,13.037,15.7202
EPIC 211914445.01,EPIC 211914445,1,CANDIDATE,Yu et al. 2018,1.810718,2.597,0.23017258,0.0,5680.0,1.178,0.88,4.257,908.34,14.764,12.804,14.5526
EPIC 211914718.01,EPIC 211914718,1,FALSE POSITIVE,Yu et al. 2018,0.582017,2.597,0.23017258,0.0,5385.55,1.06418,0.934,4.35439,173.184,11.262,9.272,11.1111
EPIC 211914889.01,EPIC 211914889,1,CANDIDATE,Yu et al. 2018,1.81042,2.597,0.23017258,0.0,3050.0,0.313,0.88,4.808,192.997,12.977,13.841,17.8589
EPIC 211914960.01,EPIC 211914960,1,CANDIDATE,Yu et al. 2018,1.810834,2.597,0.23017258,0.0,3230.0,0.888,0.88,3.921,187.929,15.564,11.16,14.6547
EPIC 211914998.02,K2-358,1,CANDIDATE,Castro-Gonz&aacute;lez et al. 2022,24.6237203,2.33,0.20786903,0.0,5650.0,0.91,0.93,4.49,480.307,13.699,11.989,13.5733
EPIC 211915147.01,EPIC 211915147,1,FALSE POSITIVE,Yu et al. 2018,1.810708,2.597,0.23017258,0.0,6805.0,2.32513,1.46,3.86952,208.619,8.811,7.893,8.742621
EPIC 211919555.01,EPIC 211919555,1,FALSE POSITIVE,Yu et al. 2018,9.484994,2.597,0.23017258,0.0,5284.0,0.863,0.88,4.49249,264.78,12.977,14.377,12.6702
EPIC 211919842.01,EPIC 211919842,1,FALSE POSITIVE,Yu et al. 2018,9.510911,2.597,0.23017258,0.0,3941.0,0.777317,0.61,4.4422,407.382,16.139,12.511,15.5892
EPIC 211920462.01,EPIC 211920462,1,FALSE POSITIVE,Yu et al. 2018,9.516793,2.597,0.23017258,0.0,5284.0,0.863,0.88,4.49249,1930.83,19.9478,10.711500000000001,19.8787
EPIC 211920528.01,EPIC 211920528,1,FALSE POSITIVE,Yu et al. 2018,9.48658,2.597,0.23017258,0.0,6119.69,1.76772,1.15,4.00394,641.363,12.455,11.034,12.2771
EPIC 211920604.01,EPIC 211920604,1,FALSE POSITIVE,Yu et al. 2018,9.487929,2.597,0.23017258,0.0,6214.0,2.65019,1.2,3.6707,981.161,12.447,10.972,12.2618
EPIC 211920811.01,EPIC 211920811,1,FALSE POSITIVE,Yu et al. 2018,9.49259,2.597,0.23017258,0.0,4645.01,7.25626,0.88,4.49249,1514.47,12.832,10.227,12.5
EPIC 211925181.01,EPIC 211925181,1,CANDIDATE,Kruse et al. 2019,8.841,2.43,0.217,0.0,5284.0,0.584,0.88,4.49249,444.665,15.994,13.035,15.6609
EPIC 211925595.01,EPIC 211925595,1,CANDIDATE,Barros et al. 2016,45.38331501,2.597,0.23017258,0.0,4793.26,0.815611,0.77,4.50159,466.711,14.576,12.427,14.4803
EPIC 211928959.01,EPIC 211928959,1,FALSE POSITIVE,Yu et al. 2018,0.858462,2.597,0.23017258,0.0,4467.0,0.840819,0.7,4.43376,1177.15,17.2548,14.777,16.8725
EPIC 211929937.01,EPIC 211929937,0,CANDIDATE,Kruse et al. 2019,3.477,2.597,0.23017258,0.0,5225.91,0.84127,0.89,4.53759,514.449,14.334,12.351,14.1754
EPIC 211929937.01,EPIC 211929937,0,CANDIDATE,Kruse et al. 2019,3.476642,11.5,1.03,0.0,5284.0,0.84,0.88,4.49249,514.449,14.334,12.351,14.1754
EPIC 211929937.01,EPIC 211929937,0,CANDIDATE,Kruse et al. 2019,3.476633,12.7,1.13,0.0,5284.0,0.865,0.88,4.49249,514.449,14.334,12.351,14.1754
EPIC 211929937.01,EPIC 211929937,0,CANDIDATE,Kruse et al. 2019,3.47701708869,11.85710209,1.05782162,0.0,5225.91,0.84127,0.88,4.53759,514.449,14.334,12.351,14.1754
EPIC 211929937.01,EPIC 211929937,1,CANDIDATE,Kruse et al. 2019,3.4766506,12.6,1.12,0.0,5284.0,0.879,0.88,4.49249,514.449,14.334,12.351,14.1754
EPIC 211929937.01,EPIC 211929937,0,CANDIDATE,Kruse et al. 2019,3.47701312,2.597,0.23017258,0.0,5225.91,0.84127,0.89,4.53759,514.449,14.334,12.351,14.1754
EPIC 211934173.01,EPIC 211934173,1,FALSE POSITIVE,Yu et al. 2018,0.520451,2.597,0.23017258,0.0,5284.0,0.863,0.88,4.49249,284.828,18.2343,15.598,18.1899
EPIC 211939692.01,EPIC 211939692,1,CANDIDATE,Kruse et al. 2019,6.788,4.31,0.385,0.0,5284.0,1.294,0.88,4.49249,408.404,11.529,10.601,11.718
EPIC 211939692.02,EPIC 211939692,1,CANDIDATE,Kruse et al. 2019,39.5438,3.28,0.293,0.0,5284.0,1.294,0.88,4.49249,408.404,11.529,10.601,11.718
EPIC 211939692.03,EPIC 211939692,1,CANDIDATE,Kruse et al. 2019,6.788,3.26,0.291,0.0,5284.0,1.294,0.88,4.49249,408.404,11.529,10.601,11.718
EPIC 211939692.04,EPIC 211939692,1,CANDIDATE,Kruse et al. 2019,26.8662,2.95,0.263,0.0,5284.0,1.294,0.88,4.49249,408.404,11.529,10.601,11.718
EPIC 211941472.01,EPIC 211941472,0,CANDIDATE,Kruse et al. 2019,5.78,2.597,0.23017258,0.0,5758.27,1.70787,0.88,4.49249,289.342,11.992,10.387,11.8184
EPIC 211941472.01,EPIC 211941472,1,CANDIDATE,Kruse et al. 2019,5.7837,1.38,0.123,0.0,5284.0,1.31,0.88,4.49249,289.342,11.992,10.387,11.8184
EPIC 211941472.01,EPIC 211941472,0,CANDIDATE,Kruse et al. 2019,5.781853,1.44284081,0.13,0.0,5739.0,1.383982,0.88,4.11,289.342,11.992,10.387,11.8184
EPIC 211942157.01,EPIC 211942157,1,FALSE POSITIVE,Yu et al. 2018,1.324292,2.597,0.23017258,0.0,7114.0,2.71166,1.58,3.77025,1213.2,12.129,11.495,12.0538
EPIC 211942755.01,EPIC 211942755,1,CANDIDATE,Zink et al. 2021,19.729071,2.239,0.19975054,0.0,4735.0,0.712,0.769,4.619,349.289,14.447,12.02,14.1142
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.491795,5.84689735,0.52,0.0,6046.0,1.410092,0.88,4.14,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.4921473,5.50689,0.49129266,0.0,6128.0,1.36,0.88,4.23,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.49213,6.12,0.54598983,0.0,6025.0,1.38,1.18,4.25,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.50735025,2.597,0.23017258,0.0,6128.0,1.3636,1.158,4.2324,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.492132,6.0,0.54,0.0,5284.0,1.48,0.88,4.49249,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,1,CONFIRMED,Chakraborty et al. 2018,19.49221,5.76,0.51387278,0.0,6069.0,1.39,1.17,4.22,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.491965,6.8,0.61,0.0,6320.0,1.485,0.88,4.219,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.49183,5.96,0.532,0.0,5284.0,1.403,0.88,4.49249,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.4921498,2.597,0.23017258,0.0,6025.0,1.38,1.18,4.25,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.491,5.5,0.49067798,0.0,6019.0,1.387,1.17,4.18,181.69,10.154,8.837,10.0512
EPIC 211945201 b,EPIC 211945201,0,CONFIRMED,Chakraborty et al. 2018,19.491,2.597,0.23017258,0.0,6128.0,1.3636,1.158,4.2324,181.69,10.154,8.837,10.0512
EPIC 211946007.01,EPIC 211946007,1,FALSE POSITIVE,Yu et al. 2018,1.982809,2.597,0.23017258,0.0,3330.0,0.291,0.88,4.958,185.731,12.977,13.499,17.4158
EPIC 211946007.01,EPIC 211946007,0,FALSE POSITIVE,Yu et al. 2018,1.9828041248,10.89107018,0.97163787,0.0,3213.0,0.293047,0.88,4.93347,185.731,12.977,13.499,17.4158
EPIC 211946007.01,EPIC 211946007,0,FALSE POSITIVE,Yu et al. 2018,1.9828,2.597,0.23017258,0.0,3213.0,0.293047,0.268704,4.93347,185.731,12.977,13.499,17.4158
EPIC 211953244.01,EPIC 211953244,1,CANDIDATE,Zink et al. 2021,29.724674,1.439,0.1283792,0.0,5339.0,0.854,0.869,4.515,120.419,11.278,9.131,10.7665
EPIC 211955798.01,EPIC 211955798,1,FALSE POSITIVE,Yu et al. 2018,0.616444,2.597,0.23017258,0.0,4937.26,0.750931,0.81,4.59535,544.461,15.042,12.62,14.8598
EPIC 211964001.01,EPIC 211964001,1,FALSE POSITIVE,Yu et al. 2018,7.218071,2.597,0.23017258,0.0,6727.06,1.67346,1.433,4.14708,187.293,9.146,8.365,9.27202
EPIC 211964025.01,EPIC 211964025,1,FALSE POSITIVE,Yu et al. 2018,7.219626,2.597,0.23017258,0.0,8075.0,2.55977,1.96,3.91392,189.453,7.6921,7.275,7.65321
EPIC 211964332.01,EPIC 211964332,1,CANDIDATE,Yu et al. 2018,7.220537,2.597,0.23017258,0.0,5420.0,0.932,0.88,4.435,657.667,14.605,12.62,14.5248
EPIC 211964555.01,EPIC 211964555,1,FALSE POSITIVE,Yu et al. 2018,7.220943,2.597,0.23017258,0.0,3092.0,0.292863,0.268495,4.93367,264.78,19.93,13.868,18.1083
EPIC 211965883.01,EPIC 211965883,1,CANDIDATE,Kruse et al. 2019,10.55532,2.64,0.236,0.0,5284.0,0.623,0.88,4.49249,209.555,15.71,11.361,14.0872
EPIC 211965883.01,EPIC 211965883,0,CANDIDATE,Kruse et al. 2019,10.55632,2.86,0.255,0.0,4067.08,0.722281,0.64,4.52683,209.555,15.71,11.361,14.0872
EPIC 211965883.01,EPIC 211965883,0,CANDIDATE,Kruse et al. 2019,10.555,2.597,0.23017258,0.0,4067.08,0.722281,0.64,4.52683,209.555,15.71,11.361,14.0872
EPIC 211970234.01,EPIC 211970234,1,FALSE POSITIVE,Dressing et al. 2017,1.4835,1.41,0.126,0.0,3200.0,0.317944,0.297189,4.9064,162.067,12.977,12.987,16.9002
EPIC 211972086.01,EPIC 211972086,1,FALSE POSITIVE,Rizzuto et al. 2017,6.0162,2.597,0.23017258,0.0,3249.0,0.400314,0.391835,4.82637,186.063,12.977,12.651,16.5341
EPIC 211972627.01,EPIC 211972627,1,CANDIDATE,Yu et al. 2018,1.092845,2.597,0.23017258,0.0,5620.0,0.951,0.88,4.468,183.013,11.496,9.753,11.3111
EPIC 211972681.01,EPIC 211972681,1,CANDIDATE,Yu et al. 2018,1.092673,2.597,0.23017258,0.0,5140.0,0.783,0.88,4.557,621.412,15.548,13.093,15.364
EPIC 211972837.01,EPIC 211972837,1,FALSE POSITIVE,Yu et al. 2018,1.092917,2.597,0.23017258,0.0,7226.47,1.78223,1.62,4.14565,1129.3,12.899,12.171,12.828
EPIC 211978865.01,EPIC 211978865,1,CANDIDATE,Petigura et al. 2018,0.907765,77.0,6.87,0.0,5284.0,1.21,0.88,4.49249,1250.39,14.538,13.157,14.5743
